#,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance,Season
1,Juventus FC,Serie A,€180.04m,19,€153.95m,21,€-26.08m,2001/2002
2,Milan AC,Serie A,€145.13m,30,€33.50m,30,€-111.63m,2001/2002
3,SS Lazio,Serie A,€139.25m,15,€119.20m,18,€-20.05m,2001/2002
4,FC Internazionale,Serie A,€112.19m,33,€55.13m,36,€-57.06m,2001/2002
5,AC Parma,Serie A,€99.84m,31,€147.52m,31,€47.68m,2001/2002
6,FC Barcelona,LaLiga,€95.00m,10,€37.31m,7,€-57.69m,2001/2002
7,Manchester United,Premier League,€85.85m,21,€43.60m,16,€-42.25m,2001/2002
8,Real Madrid,LaLiga,€77.50m,10,-,13,€-77.50m,2001/2002
9,AS Roma,Serie A,€50.93m,24,€58.63m,26,€7.70m,2001/2002
10,Fulham FC,Premier League,€50.60m,13,€1.03m,14,€-49.58m,2001/2002
11,Chelsea FC,Premier League,€49.70m,10,€14.32m,16,€-35.38m,2001/2002
12,Borussia Dortmund,Bundesliga,€49.60m,9,€19.15m,8,€-30.45m,2001/2002
13,Leeds United,Premier League,€46.30m,11,€4.58m,14,€-41.73m,2001/2002
14,Valencia CF,LaLiga,€34.80m,14,€53.80m,12,€19.00m,2001/2002
15,Olympique Lyon,Ligue 1,€34.50m,8,€28.78m,9,€-5.72m,2001/2002
16,Blackburn Rovers,Premier League,€33.01m,21,€10.68m,25,€-22.34m,2001/2002
17,Arsenal FC,Premier League,€32.69m,21,€12.00m,15,€-20.69m,2001/2002
18,Newcastle United,Premier League,€31.59m,18,€888k,21,€-30.70m,2001/2002
19,Liverpool FC,Premier League,€31.56m,8,€28.65m,10,€-2.91m,2001/2002
20,Sunderland AFC,Premier League,€29.76m,15,€12.89m,15,€-16.87m,2001/2002
21,AS Monaco,Ligue 1,€28.71m,21,€38.86m,17,€10.15m,2001/2002
22,Atlético de Madrid,LaLiga2,€28.30m,18,€20.30m,14,€-8.00m,2001/2002
23,Tottenham Hotspur,Premier League,€28.05m,10,€9.75m,9,€-18.30m,2001/2002
24,Olympique Marseille,Ligue 1,€26.30m,37,€19.05m,34,€-7.25m,2001/2002
25,Aston Villa,Premier League,€26.10m,15,€16.88m,16,€-9.23m,2001/2002
26,Real Zaragoza,LaLiga,€23.65m,8,-,7,€-23.65m,2001/2002
27,Middlesbrough FC,Premier League,€22.70m,24,€5.27m,30,€-17.43m,2001/2002
28,SL Benfica,Liga Portugal,€22.09m,32,€21.28m,28,€-806k,2001/2002
29,West Ham United,Premier League,€22.06m,11,€18.13m,18,€-3.94m,2001/2002
30,Stade Rennais FC,Ligue 1,€20.62m,15,€7.83m,11,€-12.79m,2001/2002
31,Bayern Munich,Bundesliga,€20.54m,6,€9.35m,4,€-11.19m,2001/2002
32,Manchester City,First Division,€20.51m,17,€7.05m,15,€-13.46m,2001/2002
33,Ipswich Town,Premier League,€20.23m,22,€13.50m,14,€-6.73m,2001/2002
34,Deportivo de La Coruña,LaLiga,€19.80m,13,€6.50m,12,€-13.30m,2001/2002
35,Paris Saint-Germain,Ligue 1,€19.50m,20,€17.43m,22,€-2.08m,2001/2002
36,Southampton FC,Premier League,€19.35m,17,€14.45m,16,€-4.90m,2001/2002
37,Leicester City,Premier League,€19.20m,23,€3.03m,22,€-16.17m,2001/2002
38,Rangers FC,Premiership,€18.35m,15,€34.87m,20,€16.52m,2001/2002
39,Wolverhampton Wanderers,First Division,€17.83m,22,€2.49m,26,€-15.34m,2001/2002
40,PSV Eindhoven,Eredivisie,€17.70m,14,€31.20m,13,€13.50m,2001/2002
41,Hertha BSC,Bundesliga,€17.45m,10,€2.75m,9,€-14.70m,2001/2002
42,Real Sociedad,LaLiga,€16.60m,12,-,14,€-16.60m,2001/2002
43,Ajax Amsterdam,Eredivisie,€15.50m,17,€4.50m,13,€-11.00m,2001/2002
44,Sporting CP,Liga Portugal,€14.95m,16,€5.58m,26,€-9.37m,2001/2002
45,Feyenoord Rotterdam,Eredivisie,€14.55m,19,€7.40m,13,€-7.15m,2001/2002
46,FC Girondins Bordeaux,Ligue 1,€14.28m,16,€22.64m,16,€8.36m,2001/2002
47,VfL Wolfsburg,Bundesliga,€14.00m,15,€8.80m,11,€-5.20m,2001/2002
48,US Lecce,Serie A,€13.69m,16,€2.32m,14,€-11.36m,2001/2002
49,Charlton Athletic,Premier League,€13.50m,14,€1.38m,16,€-12.13m,2001/2002
50,Hamburger SV,Bundesliga,€13.32m,11,€6.40m,16,€-6.92m,2001/2002
1,FC Internazionale,Serie A,€116.18m,30,€103.25m,26,€-12.93m,2002/2003
2,Milan AC,Serie A,€71.10m,24,€40.60m,28,€-30.50m,2002/2003
3,AC Parma,Serie A,€49.85m,33,€70.65m,36,€20.80m,2002/2003
4,Manchester United,Premier League,€48.53m,15,€3.50m,15,€-45.03m,2002/2003
5,Real Madrid,LaLiga,€45.00m,16,€8.20m,14,€-36.80m,2002/2003
6,Manchester City,Premier League,€44.45m,15,€300k,15,€-44.15m,2002/2003
7,Deportivo de La Coruña,LaLiga,€42.66m,14,€9.70m,15,€-32.96m,2002/2003
8,Juventus FC,Serie A,€40.70m,24,€14.00m,26,€-26.70m,2002/2003
9,Newcastle United,Premier League,€34.55m,14,€225k,14,€-34.33m,2002/2003
10,Middlesbrough FC,Premier League,€34.08m,22,-,26,€-34.08m,2002/2003
11,Liverpool FC,Premier League,€31.50m,16,€11.80m,16,€-19.70m,2002/2003
12,Atlético de Madrid,LaLiga,€31.20m,19,€8.10m,18,€-23.10m,2002/2003
13,Bayer 04 Leverkusen,Bundesliga,€30.40m,15,€15.95m,13,€-14.45m,2002/2003
14,Sunderland AFC,Premier League,€29.68m,24,-,19,€-29.68m,2002/2003
15,Bayern Munich,Bundesliga,€24.50m,6,€3.50m,7,€-21.00m,2002/2003
16,FC Barcelona,LaLiga,€20.00m,11,€11.55m,10,€-8.45m,2002/2003
17,FC Schalke 04,Bundesliga,€19.25m,9,€200k,13,€-19.05m,2002/2003
18,PSV Eindhoven,Eredivisie,€18.15m,15,€200k,17,€-17.95m,2002/2003
19,Stade Rennais FC,Ligue 1,€17.83m,18,€3.50m,19,€-14.33m,2002/2003
20,West Bromwich Albion,Premier League,€16.95m,10,-,7,€-16.95m,2002/2003
21,Birmingham City,Premier League,€15.68m,22,€1.15m,19,€-14.53m,2002/2003
22,Everton FC,Premier League,€13.88m,22,€375k,14,€-13.50m,2002/2003
23,Arsenal FC,Premier League,€12.83m,14,€8.22m,19,€-4.61m,2002/2003
24,Paris Saint-Germain,Ligue 1,€12.75m,21,€32.25m,21,€19.50m,2002/2003
25,Fenerbahce,Süper Lig,€12.35m,16,€200k,13,€-12.15m,2002/2003
26,Galatasaray,Süper Lig,€12.30m,25,€1.00m,21,€-11.30m,2002/2003
27,Real Betis Balompié,LaLiga,€12.20m,9,€2.90m,8,€-9.30m,2002/2003
28,Dynamo Kyiv,Premier Liga,€12.10m,11,€200k,10,€-11.90m,2002/2003
29,Southampton FC,Premier League,€12.00m,15,-,18,€-12.00m,2002/2003
30,Celta de Vigo,LaLiga,€11.50m,14,€50k,15,€-11.45m,2002/2003
31,SS Lazio,Serie A,€11.50m,11,€80.00m,16,€68.50m,2002/2003
32,FC Porto,Liga Portugal,€11.40m,25,€18.20m,29,€6.80m,2002/2003
33,RCD Espanyol Barcelona,LaLiga,€11.27m,18,-,15,€-11.27m,2002/2003
34,US Palermo,Serie B,€10.50m,35,-,36,€-10.50m,2002/2003
35,Tottenham Hotspur,Premier League,€10.50m,23,€1.35m,22,€-9.15m,2002/2003
36,Borussia Dortmund,Bundesliga,€10.15m,6,€1.55m,10,€-8.60m,2002/2003
37,AS Roma,Serie A,€10.06m,23,€13.95m,18,€3.89m,2002/2003
38,Besiktas JK,Süper Lig,€9.68m,27,€1.00m,24,€-8.68m,2002/2003
39,Aston Villa,Premier League,€9.08m,23,€6.90m,16,€-2.18m,2002/2003
40,FC Girondins Bordeaux,Ligue 1,€9.00m,13,€6.30m,16,€-2.70m,2002/2003
41,Olympique Marseille,Ligue 1,€8.00m,21,€11.03m,22,€3.03m,2002/2003
42,Rangers FC,Premiership,€7.90m,12,€11.00m,14,€3.10m,2002/2003
43,UC Sampdoria,Serie B,€7.80m,19,-,24,€-7.80m,2002/2003
44,Blackburn Rovers,Premier League,€7.25m,21,€1.80m,16,€-5.45m,2002/2003
45,Udinese Calcio,Serie A,€7.00m,21,€2.70m,29,€-4.30m,2002/2003
46,Villarreal CF,LaLiga,€6.85m,12,€60k,16,€-6.79m,2002/2003
47,Reggina Calcio,Serie A,€6.80m,21,€2.00m,20,€-4.80m,2002/2003
48,Charlton Athletic,Premier League,€6.75m,12,€2.65m,13,€-4.10m,2002/2003
49,Feyenoord Rotterdam,Eredivisie,€6.50m,17,-,15,€-6.50m,2002/2003
50,AS Monaco,Ligue 1,€6.10m,14,€10.11m,12,€4.01m,2002/2003
1,Chelsea FC,Premier League,€173.70m,24,€950k,22,€-172.75m,2003/2004
2,Manchester United,Premier League,€56.53m,23,€59.30m,28,€2.78m,2003/2004
3,FC Internazionale,Serie A,€54.00m,44,€51.42m,42,€-2.59m,2003/2004
4,FC Barcelona,LaLiga,€43.85m,13,€2.90m,14,€-40.95m,2003/2004
5,Real Madrid,LaLiga,€37.50m,10,€32.80m,15,€-4.70m,2003/2004
6,Juventus FC,Serie A,€35.79m,26,€5.70m,29,€-30.09m,2003/2004
7,Paris Saint-Germain,Ligue 1,€34.90m,23,€34.95m,23,€50k,2003/2004
8,Tottenham Hotspur,Premier League,€29.75m,17,€1.75m,22,€-28.00m,2003/2004
9,Arsenal FC,Premier League,€27.42m,18,€1.05m,22,€-26.37m,2003/2004
10,Bayern Munich,Bundesliga,€27.00m,7,€4.50m,9,€-22.50m,2003/2004
11,AS Roma,Serie A,€26.20m,19,-,19,€-26.20m,2003/2004
12,Olympique Lyon,Ligue 1,€25.50m,9,€4.15m,10,€-21.35m,2003/2004
13,AC Parma,Serie A,€24.02m,33,€83.40m,32,€59.39m,2003/2004
14,Blackburn Rovers,Premier League,€22.34m,23,€34.85m,30,€12.51m,2003/2004
15,Olympique Marseille,Ligue 1,€18.85m,26,€11.50m,22,€-7.35m,2003/2004
16,SS Lazio,Serie A,€18.03m,18,€8.85m,21,€-9.18m,2003/2004
17,Shakhtar Donetsk,Premier Liga,€18.00m,13,-,10,€-18.00m,2003/2004
18,Birmingham City,Premier League,€17.10m,16,€1.95m,27,€-15.15m,2003/2004
19,Borussia Dortmund,Bundesliga,€16.57m,10,€3.70m,7,€-12.87m,2003/2004
20,CSKA Moscow,Premier Liga,€15.85m,15,-,12,€-15.85m,2003/2004
21,Liverpool FC,Premier League,€15.65m,19,-,13,€-15.65m,2003/2004
22,AC Milan,Serie A,€15.00m,24,€12.85m,27,€-2.15m,2003/2004
23,VfL Wolfsburg,Bundesliga,€14.50m,14,€3.02m,17,€-11.48m,2003/2004
24,Manchester City,Premier League,€14.26m,21,€6.62m,23,€-7.64m,2003/2004
25,Villarreal CF,LaLiga,€12.05m,12,€4.00m,12,€-8.05m,2003/2004
26,Ajax Amsterdam,Eredivisie,€11.92m,19,€30.60m,18,€18.68m,2003/2004
27,Portsmouth FC,Premier League,€11.78m,37,€200k,37,€-11.58m,2003/2004
28,Feyenoord Rotterdam,Eredivisie,€11.50m,14,€9.50m,19,€-2.00m,2003/2004
29,FC Girondins Bordeaux,Ligue 1,€11.00m,18,€16.50m,14,€5.50m,2003/2004
30,Dynamo Kyiv,Premier Liga,€10.73m,21,€1.55m,12,€-9.18m,2003/2004
31,Middlesbrough FC,Premier League,€10.20m,29,€1.13m,30,€-9.08m,2003/2004
32,Everton FC,Premier League,€9.92m,17,€975k,19,€-8.94m,2003/2004
33,Wolverhampton Wanderers,Premier League,€9.88m,27,€1.15m,20,€-8.73m,2003/2004
34,Atlético de Madrid,LaLiga,€9.80m,20,€250k,24,€-9.55m,2003/2004
35,US Palermo,Serie B,€9.20m,28,€1.00m,31,€-8.20m,2003/2004
36,Southampton FC,Premier League,€8.98m,21,€10.88m,20,€1.90m,2003/2004
37,Spartak Moscow,Premier Liga,€8.85m,19,€2.10m,21,€-6.75m,2003/2004
38,Valencia CF,LaLiga,€8.50m,11,€4.50m,10,€-4.00m,2003/2004
39,FC Porto,Liga Portugal,€8.50m,27,€10.00m,21,€1.50m,2003/2004
40,Real Betis Balompié,LaLiga,€8.50m,10,-,10,€-8.50m,2003/2004
41,Fulham FC,Premier League,€8.48m,32,€25.04m,26,€16.56m,2003/2004
42,Aston Villa,Premier League,€8.38m,19,€290k,29,€-8.09m,2003/2004
43,Fenerbahce,Süper Lig,€8.30m,15,€700k,20,€-7.60m,2003/2004
44,Sevilla FC,LaLiga,€8.20m,13,€20.00m,11,€11.80m,2003/2004
45,VfB Stuttgart,Bundesliga,€8.00m,15,€350k,11,€-7.65m,2003/2004
46,Sporting CP,Liga Portugal,€7.60m,18,€26.35m,16,€18.75m,2003/2004
47,Krylya Sovetov Samara,Premier Liga,€6.80m,13,-,14,€-6.80m,2003/2004
48,RCD Mallorca,LaLiga,€6.50m,16,€11.80m,15,€5.30m,2003/2004
49,Real Zaragoza,LaLiga,€5.80m,9,-,8,€-5.80m,2003/2004
50,Galatasaray,Süper Lig,€5.65m,16,€4.00m,18,€-1.65m,2003/2004
1,Chelsea FC,Premier League,€162.40m,21,€3.30m,25,€-159.10m,2004/2005
2,FC Barcelona,LaLiga,€78.50m,15,€14.75m,16,€-63.75m,2004/2005
3,Juventus FC,Serie A,€71.12m,27,€45.45m,28,€-25.67m,2004/2005
4,Manchester United,Premier League,€61.25m,20,€9.57m,19,€-51.69m,2004/2005
5,Real Madrid,LaLiga,€58.70m,10,€9.25m,11,€-49.45m,2004/2005
6,Liverpool FC,Premier League,€58.40m,22,€24.57m,22,€-33.83m,2004/2005
7,FC Porto,Liga Portugal,€50.10m,33,€95.25m,35,€45.15m,2004/2005
8,ACF Fiorentina,Serie A,€49.50m,19,€2.00m,24,€-47.50m,2004/2005
9,Tottenham Hotspur,Premier League,€47.13m,37,€10.50m,34,€-36.63m,2004/2005
10,AS Roma,Serie A,€43.21m,24,€61.40m,27,€18.19m,2004/2005
11,Valencia CF,LaLiga,€40.00m,16,€8.00m,19,€-32.00m,2004/2005
12,Shakhtar Donetsk,Premier Liga,€37.81m,12,-,12,€-37.81m,2004/2005
13,Olympique Marseille,Ligue 1,€30.28m,24,€52.38m,29,€22.10m,2004/2005
14,Newcastle United,Premier League,€29.45m,17,€22.28m,18,€-7.18m,2004/2005
15,Spartak Moscow,Premier Liga,€28.70m,21,€1.50m,19,€-27.20m,2004/2005
16,Paris Saint-Germain,Ligue 1,€27.50m,19,€17.00m,21,€-10.50m,2004/2005
17,Olympique Lyon,Ligue 1,€26.25m,15,€22.50m,16,€-3.75m,2004/2005
18,Bayern Munich,Bundesliga,€25.75m,6,€1.03m,3,€-24.72m,2004/2005
19,Dinamo Moscow,Premier Liga,€20.40m,15,€1.02m,16,€-19.39m,2004/2005
20,AS Monaco,Ligue 1,€18.00m,19,€18.50m,22,€500k,2004/2005
21,Atlético de Madrid,LaLiga,€17.60m,22,-,22,€-17.60m,2004/2005
22,Fenerbahce,Süper Lig,€16.04m,12,€5.00m,11,€-11.04m,2004/2005
23,FC Internazionale,Serie A,€15.95m,44,€29.82m,47,€13.87m,2004/2005
24,West Bromwich Albion,Premier League,€15.85m,18,€1.95m,24,€-13.90m,2004/2005
25,Villarreal CF,LaLiga,€15.80m,12,€9.73m,10,€-6.08m,2004/2005
26,Rangers FC,Premiership,€15.78m,29,€15.93m,28,€150k,2004/2005
27,Birmingham City,Premier League,€15.77m,28,€8.15m,21,€-7.62m,2004/2005
28,US Palermo,Serie A,€15.73m,23,€1.70m,30,€-14.03m,2004/2005
29,Fulham FC,Premier League,€13.95m,22,€5.20m,22,€-8.75m,2004/2005
30,Besiktas JK,Süper Lig,€13.70m,19,€1.00m,18,€-12.70m,2004/2005
31,Charlton Athletic,Premier League,€13.25m,17,€1.95m,19,€-11.30m,2004/2005
32,Hamburger SV,Bundesliga,€13.15m,14,€8.40m,17,€-4.75m,2004/2005
33,Southampton FC,Premier League,€12.68m,33,€11.50m,31,€-1.18m,2004/2005
34,Arsenal FC,Premier League,€12.48m,22,€3.90m,19,€-8.58m,2004/2005
35,CSKA Moscow,Premier Liga,€12.45m,11,€11.50m,12,€-950k,2004/2005
36,PSV Eindhoven,Eredivisie,€12.02m,20,€31.90m,23,€19.89m,2004/2005
37,Everton FC,Premier League,€11.88m,9,€45.40m,17,€33.53m,2004/2005
38,Sevilla FC,LaLiga,€11.53m,14,-,12,€-11.53m,2004/2005
39,AC Milan,Serie A,€11.00m,24,€12.20m,22,€1.20m,2004/2005
40,Real Betis Balompié,LaLiga,€10.95m,9,-,11,€-10.95m,2004/2005
41,Portsmouth FC,Premier League,€10.85m,27,€6.60m,36,€-4.25m,2004/2005
42,Aston Villa,Premier League,€10.14m,14,€3.43m,17,€-6.72m,2004/2005
43,SS Lazio,Serie A,€9.50m,24,€37.50m,16,€28.00m,2004/2005
44,SV Werder Bremen,Bundesliga,€9.00m,10,€6.45m,15,€-2.55m,2004/2005
45,Norwich City,Premier League,€8.53m,18,€450k,15,€-8.08m,2004/2005
46,VfL Wolfsburg,Bundesliga,€8.50m,10,-,9,€-8.50m,2004/2005
47,Lokomotiv Moscow,Premier Liga,€8.35m,9,€750k,12,€-7.60m,2004/2005
48,Dynamo Kyiv,Premier Liga,€8.25m,7,-,12,€-8.25m,2004/2005
49,FC Nantes,Ligue 1,€8.20m,18,€21.30m,15,€13.10m,2004/2005
50,Blackburn Rovers,Premier League,€7.88m,21,€7.70m,21,€-175k,2004/2005
1,Chelsea FC,Premier League,€91.50m,15,€34.60m,18,€-56.90m,2005/2006
2,Real Madrid,LaLiga,€89.50m,16,€43.10m,10,€-46.40m,2005/2006
3,Newcastle United,Premier League,€61.75m,16,€30.90m,16,€-30.85m,2005/2006
4,Dinamo Moscow,Premier Liga,€57.50m,20,€1.65m,22,€-55.85m,2005/2006
5,Olympique Lyon,Ligue 1,€49.60m,15,€43.40m,15,€-6.20m,2005/2006
6,Arsenal FC,Premier League,€46.00m,17,€25.00m,18,€-21.00m,2005/2006
7,Liverpool FC,Premier League,€44.06m,26,€19.04m,26,€-25.02m,2005/2006
8,Tottenham Hotspur,Premier League,€36.51m,25,€25.45m,25,€-11.06m,2005/2006
9,ACF Fiorentina,Serie A,€34.50m,21,€10.19m,28,€-24.31m,2005/2006
10,AC Milan,Serie A,€33.50m,25,€12.00m,26,€-21.50m,2005/2006
11,Everton FC,Premier League,€32.53m,17,€7.00m,13,€-25.53m,2005/2006
12,Manchester United,Premier League,€31.80m,24,€7.90m,27,€-23.90m,2005/2006
13,FC Internazionale,Serie A,€30.40m,41,€22.66m,39,€-7.75m,2005/2006
14,Juventus FC,Serie A,€30.39m,28,€14.03m,28,€-16.36m,2005/2006
15,Atlético de Madrid,LaLiga,€26.50m,18,€5.30m,19,€-21.20m,2005/2006
16,Valencia CF,LaLiga,€24.81m,25,€13.90m,19,€-10.91m,2005/2006
17,Sevilla FC,LaLiga,€23.00m,9,€48.20m,15,€25.20m,2005/2006
18,US Palermo,Serie A,€22.35m,24,€10.00m,26,€-12.35m,2005/2006
19,West Ham United,Premier League,€21.59m,32,€550k,30,€-21.04m,2005/2006
20,Villarreal CF,LaLiga,€19.90m,10,€13.35m,8,€-6.55m,2005/2006
21,Lokomotiv Moscow,Premier Liga,€19.40m,20,€1.65m,16,€-17.75m,2005/2006
22,Portsmouth FC,Premier League,€18.78m,39,€12.15m,35,€-6.63m,2005/2006
23,FC Porto,Liga Portugal,€18.30m,35,€48.80m,33,€30.50m,2005/2006
24,Paris Saint-Germain,Ligue 1,€18.20m,15,€12.43m,14,€-5.78m,2005/2006
25,Aston Villa,Premier League,€16.54m,16,€6.40m,15,€-10.14m,2005/2006
26,Wigan Athletic,Premier League,€15.77m,18,€5.63m,18,€-10.15m,2005/2006
27,RCD Espanyol Barcelona,LaLiga,€15.63m,16,€6.10m,17,€-9.53m,2005/2006
28,Spartak Moscow,Premier Liga,€15.50m,10,€16.50m,11,€1.00m,2005/2006
29,Ajax Amsterdam,Eredivisie,€15.50m,15,€14.50m,17,€-1.00m,2005/2006
30,Olympique Marseille,Ligue 1,€15.33m,32,€13.85m,29,€-1.48m,2005/2006
31,West Bromwich Albion,Premier League,€15.30m,16,€9.08m,17,€-6.23m,2005/2006
32,SV Werder Bremen,Bundesliga,€15.19m,15,€11.00m,11,€-4.19m,2005/2006
33,FC Schalke 04,Bundesliga,€14.20m,9,€8.08m,12,€-6.13m,2005/2006
34,Middlesbrough FC,Premier League,€13.96m,18,-,12,€-13.96m,2005/2006
35,Shakhtar Donetsk,Premier Liga,€13.86m,12,€400k,13,€-13.46m,2005/2006
36,Stade Rennais FC,Ligue 1,€12.80m,13,€3.70m,12,€-9.10m,2005/2006
37,Celtic FC,Premiership,€12.50m,18,€1.50m,16,€-11.00m,2005/2006
38,Manchester City,Premier League,€12.48m,13,€32.50m,12,€20.03m,2005/2006
39,Birmingham City,Premier League,€12.10m,31,€7.95m,27,€-4.15m,2005/2006
40,Parma FC,Serie A,€11.65m,20,€26.25m,23,€14.60m,2005/2006
41,VfB Stuttgart,Bundesliga,€11.55m,11,€29.00m,16,€17.45m,2005/2006
42,FC Toulouse,Ligue 1,€11.40m,8,-,11,€-11.40m,2005/2006
43,Bayern Munich,Bundesliga,€11.20m,6,€7.05m,7,€-4.15m,2005/2006
44,Red Bull Salzburg,Bundesliga,€10.85m,18,-,18,€-10.85m,2005/2006
45,Saturn Ramenskoe,Premier Liga,€10.50m,22,€600k,19,€-9.90m,2005/2006
46,VfL Wolfsburg,Bundesliga,€9.98m,13,€12.80m,12,€2.83m,2005/2006
47,RCD Mallorca,LaLiga,€9.75m,21,€5.00m,22,€-4.75m,2005/2006
48,Hamburger SV,Bundesliga,€9.75m,16,€3.60m,15,€-6.15m,2005/2006
49,Blackburn Rovers,Premier League,€9.40m,23,€2.70m,25,€-6.70m,2005/2006
50,AS Saint-Étienne,Ligue 1,€9.40m,17,-,14,€-9.40m,2005/2006
1,Real Madrid,LaLiga,€103.00m,13,€15.35m,17,€-87.65m,2006/2007
2,Chelsea FC,Premier League,€88.98m,18,€52.60m,17,€-36.38m,2006/2007
3,West Ham United,Premier League,€69.85m,23,€6.75m,23,€-63.10m,2006/2007
4,Tottenham Hotspur,Premier League,€61.00m,19,€38.65m,22,€-22.35m,2006/2007
5,Atlético de Madrid,LaLiga,€58.43m,20,€7.00m,21,€-51.43m,2006/2007
6,Valencia CF,LaLiga,€49.80m,18,€20.83m,18,€-28.97m,2006/2007
7,FC Internazionale,Serie A,€48.40m,33,€31.89m,36,€-16.51m,2006/2007
8,Liverpool FC,Premier League,€46.00m,27,€24.73m,27,€-21.28m,2006/2007
9,AC Milan,Serie A,€41.40m,26,€57.33m,24,€15.93m,2006/2007
10,Zenit St. Petersburg,Premier Liga,€39.10m,14,€6.98m,15,€-32.13m,2006/2007
11,US Palermo,Serie A,€34.20m,29,€27.40m,26,€-6.80m,2006/2007
12,Olympique Lyon,Ligue 1,€32.45m,15,€47.33m,12,€14.88m,2006/2007
13,Newcastle United,Premier League,€31.88m,11,€11.18m,13,€-20.70m,2006/2007
14,Villarreal CF,LaLiga,€31.04m,14,€5.30m,11,€-25.74m,2006/2007
15,FC Barcelona,LaLiga,€31.00m,8,€13.20m,8,€-17.80m,2006/2007
16,Hamburger SV,Bundesliga,€30.30m,16,€22.63m,12,€-7.67m,2006/2007
17,Wigan Athletic,Premier League,€29.38m,23,€24.33m,25,€-5.05m,2006/2007
18,ACF Fiorentina,Serie A,€28.75m,18,€2.33m,19,€-26.43m,2006/2007
19,Manchester United,Premier League,€27.20m,23,€18.00m,26,€-9.20m,2006/2007
20,Real Betis Balompié,LaLiga,€24.94m,16,€40.20m,12,€15.26m,2006/2007
21,Aston Villa,Premier League,€24.70m,18,€4.33m,16,€-20.38m,2006/2007
22,Fenerbahce,Süper Lig,€24.70m,12,€12.00m,11,€-12.70m,2006/2007
23,SS Lazio,Serie A,€24.16m,19,€8.75m,24,€-15.41m,2006/2007
24,Bayern Munich,Bundesliga,€24.00m,6,€2.50m,8,€-21.50m,2006/2007
25,AS Monaco,Ligue 1,€22.60m,21,€24.55m,22,€1.95m,2006/2007
26,Charlton Athletic,Premier League,€21.65m,33,€2.28m,35,€-19.38m,2006/2007
27,AS Roma,Serie A,€21.22m,25,€19.62m,23,€-1.60m,2006/2007
28,Birmingham City,Championship,€20.43m,23,€32.48m,32,€12.05m,2006/2007
