#,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance,Season
29,Sevilla FC,LaLiga,€18.70m,13,€1.50m,13,€-17.20m,2006/2007
30,Sheffield United,Premier League,€18.03m,39,€3.33m,37,€-14.70m,2006/2007
31,Blackburn Rovers,Premier League,€17.98m,27,€16.91m,24,€-1.07m,2006/2007
32,Everton FC,Premier League,€17.90m,13,€2.50m,15,€-15.40m,2006/2007
33,Bolton Wanderers,Premier League,€17.00m,20,€3.85m,16,€-13.15m,2006/2007
34,Real Zaragoza,LaLiga,€16.80m,13,€17.58m,12,€780k,2006/2007
35,Paris Saint-Germain,Ligue 1,€16.70m,15,€4.50m,18,€-12.20m,2006/2007
36,Celtic FC,Premiership,€16.40m,30,€16.33m,25,€-70k,2006/2007
37,RC Lens,Ligue 1,€16.30m,15,€18.75m,17,€2.45m,2006/2007
38,Sunderland AFC,Championship,€16.10m,31,€10.38m,35,€-5.73m,2006/2007
39,PSV Eindhoven,Eredivisie,€16.05m,23,€10.45m,22,€-5.60m,2006/2007
40,Lokomotiv Moscow,Premier Liga,€16.00m,17,€2.10m,15,€-13.90m,2006/2007
41,Besiktas JK,Süper Lig,€15.95m,20,€3.55m,23,€-12.40m,2006/2007
42,SV Werder Bremen,Bundesliga,€15.35m,10,€10.70m,11,€-4.65m,2006/2007
43,Arsenal FC,Premier League,€15.00m,15,€12.93m,18,€-2.08m,2006/2007
44,VfB Stuttgart,Bundesliga,€14.70m,19,€8.65m,15,€-6.05m,2006/2007
45,AJ Auxerre,Ligue 1,€14.50m,12,€4.50m,17,€-10.00m,2006/2007
46,UC Sampdoria,Serie A,€14.34m,30,€4.17m,29,€-10.17m,2006/2007
47,AZ Alkmaar,Eredivisie,€14.13m,23,€15.08m,19,€950k,2006/2007
48,Athletic Bilbao,LaLiga,€13.90m,13,€300k,9,€-13.60m,2006/2007
49,Fulham FC,Premier League,€13.80m,19,€10.52m,23,€-3.29m,2006/2007
50,RSC Anderlecht,Jupiler Pro League,€13.50m,21,€13.80m,20,€300k,2006/2007
1,Real Madrid,LaLiga,€118.00m,19,€42.40m,19,€-75.60m,2007/2008
2,Manchester United,Premier League,€106.50m,25,€46.60m,22,€-59.90m,2007/2008
3,Tottenham Hotspur,Premier League,€94.15m,26,€22.55m,21,€-71.60m,2007/2008
4,Bayern Munich,Bundesliga,€93.20m,13,€36.15m,12,€-57.05m,2007/2008
5,Liverpool FC,Premier League,€90.70m,26,€46.75m,26,€-43.95m,2007/2008
6,Atlético de Madrid,LaLiga,€80.50m,17,€52.10m,16,€-28.40m,2007/2008
7,Manchester City,Premier League,€77.95m,31,€10.56m,26,€-67.39m,2007/2008
8,Valencia CF,LaLiga,€72.15m,21,€7.60m,22,€-64.55m,2007/2008
9,Juventus FC,Serie A,€69.45m,36,€33.63m,38,€-35.82m,2007/2008
10,FC Barcelona,LaLiga,€68.50m,11,€14.00m,7,€-54.50m,2007/2008
11,Sunderland AFC,Premier League,€64.32m,31,€3.20m,21,€-61.12m,2007/2008
12,Chelsea FC,Premier League,€59.00m,20,€43.65m,16,€-15.35m,2007/2008
13,Portsmouth FC,Premier League,€58.64m,27,€23.38m,25,€-35.27m,2007/2008
14,Olympique Lyon,Ligue 1,€56.90m,16,€63.50m,17,€6.60m,2007/2008
15,Shakhtar Donetsk,Premier Liga,€54.01m,21,€39.30m,18,€-14.71m,2007/2008
16,AS Roma,Serie A,€50.85m,23,€22.92m,27,€-27.94m,2007/2008
17,Middlesbrough FC,Premier League,€50.60m,21,€30.23m,23,€-20.38m,2007/2008
18,Fulham FC,Premier League,€50.43m,38,€19.50m,27,€-30.93m,2007/2008
19,West Ham United,Premier League,€47.15m,18,€42.00m,17,€-5.15m,2007/2008
20,SSC Napoli,Serie A,€44.06m,19,€615k,19,€-43.45m,2007/2008
21,FC Internazionale,Serie A,€41.80m,31,€14.24m,32,€-27.56m,2007/2008
22,Villarreal CF,LaLiga,€40.00m,21,€44.45m,25,€4.45m,2007/2008
23,SL Benfica,Liga Portugal,€39.37m,42,€55.72m,44,€16.36m,2007/2008
24,Newcastle United,Premier League,€37.85m,19,€31.70m,17,€-6.15m,2007/2008
25,Everton FC,Premier League,€37.55m,16,€14.80m,16,€-22.75m,2007/2008
26,AZ Alkmaar,Eredivisie,€35.05m,18,€14.95m,17,€-20.10m,2007/2008
27,ACF Fiorentina,Serie A,€34.65m,24,€39.97m,19,€5.32m,2007/2008
28,Arsenal FC,Premier League,€30.95m,17,€56.73m,18,€25.78m,2007/2008
29,VfL Wolfsburg,Bundesliga,€30.71m,20,€14.41m,20,€-16.30m,2007/2008
30,Olympique Marseille,Ligue 1,€30.00m,28,€38.90m,25,€8.90m,2007/2008
31,Birmingham City,Premier League,€29.30m,30,€8.48m,29,€-20.83m,2007/2008
32,Sevilla FC,LaLiga,€29.00m,19,€21.10m,16,€-7.90m,2007/2008
33,AC Milan,Serie A,€29.00m,22,€11.11m,22,€-17.89m,2007/2008
34,US Palermo,Serie A,€26.85m,20,€20.63m,24,€-6.22m,2007/2008
35,SV Werder Bremen,Bundesliga,€26.10m,15,€23.01m,11,€-3.09m,2007/2008
36,Ajax Amsterdam,Eredivisie,€26.02m,20,€52.25m,15,€26.23m,2007/2008
37,Aston Villa,Premier League,€24.90m,11,€17.90m,16,€-7.00m,2007/2008
38,Real Betis Balompié,LaLiga,€24.30m,13,€1.23m,14,€-23.08m,2007/2008
39,RC Lens,Ligue 1,€23.70m,22,€19.05m,19,€-4.65m,2007/2008
40,Olympiacos Piraeus,Super League 1,€22.81m,30,€15.29m,27,€-7.52m,2007/2008
41,Derby County,Premier League,€22.68m,30,€5.24m,28,€-17.44m,2007/2008
42,Bolton Wanderers,Premier League,€22.35m,25,€21.97m,23,€-384k,2007/2008
43,West Bromwich Albion,Championship,€22.23m,31,€32.25m,27,€10.03m,2007/2008
44,Udinese Calcio,Serie A,€21.66m,34,€30.11m,37,€8.46m,2007/2008
45,Real Zaragoza,LaLiga,€21.10m,17,€25.30m,14,€4.20m,2007/2008
46,FC Girondins Bordeaux,Ligue 1,€20.80m,15,€19.00m,17,€-1.80m,2007/2008
47,Paris Saint-Germain,Ligue 1,€20.50m,20,€14.30m,20,€-6.20m,2007/2008
48,AS Monaco,Ligue 1,€20.40m,21,€21.80m,20,€1.40m,2007/2008
49,AS Saint-Étienne,Ligue 1,€20.30m,17,€18.85m,19,€-1.45m,2007/2008
50,Lokomotiv Moscow,Premier Liga,€19.80m,16,€24.25m,17,€4.45m,2007/2008
1,Manchester City,Premier League,€157.35m,26,€26.50m,18,€-130.85m,2008/2009
2,Tottenham Hotspur,Premier League,€143.95m,34,€88.05m,35,€-55.90m,2008/2009
3,FC Barcelona,LaLiga,€96.00m,9,€54.59m,12,€-41.41m,2008/2009
4,Real Madrid,LaLiga,€82.20m,12,€71.00m,11,€-11.20m,2008/2009
5,AC Milan,Serie A,€73.88m,35,€47.20m,35,€-26.68m,2008/2009
6,Liverpool FC,Premier League,€71.45m,29,€46.45m,29,€-25.00m,2008/2009
7,FC Internazionale,Serie A,€70.10m,33,€10.18m,31,€-59.92m,2008/2009
8,Genoa CFC,Serie A,€55.91m,39,€39.40m,42,€-16.51m,2008/2009
9,Aston Villa,Premier League,€55.90m,19,€7.52m,15,€-48.38m,2008/2009
10,US Palermo,Serie A,€53.50m,31,€63.95m,29,€10.45m,2008/2009
11,Olympique Lyon,Ligue 1,€50.30m,15,€34.00m,14,€-16.30m,2008/2009
12,Zenit St. Petersburg,Premier Liga,€50.00m,9,€21.30m,12,€-28.70m,2008/2009
13,ACF Fiorentina,Serie A,€49.20m,22,€18.20m,23,€-31.00m,2008/2009
14,FC Porto,Liga Portugal,€46.65m,43,€55.00m,47,€8.35m,2008/2009
15,Manchester United,Premier League,€45.25m,16,€7.45m,17,€-37.80m,2008/2009
16,Juventus FC,Serie A,€40.50m,33,€31.80m,34,€-8.70m,2008/2009
17,Arsenal FC,Premier League,€40.15m,15,€25.80m,11,€-14.35m,2008/2009
18,UC Sampdoria,Serie A,€38.24m,35,€10.80m,38,€-27.44m,2008/2009
19,Sevilla FC,LaLiga,€37.70m,14,€60.55m,15,€22.85m,2008/2009
20,Olympique Marseille,Ligue 1,€36.12m,23,€23.65m,27,€-12.47m,2008/2009
21,Newcastle United,Premier League,€35.48m,22,€41.40m,15,€5.93m,2008/2009
22,Hamburger SV,Bundesliga,€34.45m,15,€45.20m,14,€10.75m,2008/2009
23,Ajax Amsterdam,Eredivisie,€34.25m,16,€37.85m,17,€3.60m,2008/2009
24,Real Betis Balompié,LaLiga,€34.20m,14,€11.50m,13,€-22.70m,2008/2009
25,Stoke City,Premier League,€33.95m,24,€765k,19,€-33.19m,2008/2009
26,Sunderland AFC,Premier League,€33.11m,34,€11.15m,34,€-21.96m,2008/2009
27,VfL Wolfsburg,Bundesliga,€33.10m,19,€4.53m,22,€-28.57m,2008/2009
28,AS Roma,Serie A,€32.55m,38,€18.00m,34,€-14.55m,2008/2009
29,SSC Napoli,Serie A,€30.80m,18,€10.65m,19,€-20.15m,2008/2009
30,Chelsea FC,Premier League,€30.50m,15,€44.55m,17,€14.05m,2008/2009
31,Portsmouth FC,Premier League,€28.20m,29,€54.15m,24,€25.95m,2008/2009
32,Fulham FC,Premier League,€26.85m,29,€16.33m,39,€-10.53m,2008/2009
33,Atlético de Madrid,LaLiga,€26.50m,13,€3.45m,15,€-23.05m,2008/2009
34,Villarreal CF,LaLiga,€26.17m,17,€24.50m,17,€-1.67m,2008/2009
35,SL Benfica,Liga Portugal,€26.01m,32,€7.60m,31,€-18.41m,2008/2009
36,Everton FC,Premier League,€25.08m,14,€13.30m,10,€-11.78m,2008/2009
37,SS Lazio,Serie A,€24.55m,24,€12.70m,25,€-11.85m,2008/2009
38,Bologna FC 1909,Serie A,€24.40m,19,€5.10m,15,€-19.30m,2008/2009
39,West Bromwich Albion,Premier League,€24.32m,21,€10.25m,20,€-14.07m,2008/2009
40,Wigan Athletic,Premier League,€24.10m,22,€24.50m,26,€400k,2008/2009
41,Bolton Wanderers,Premier League,€23.70m,14,€10.88m,16,€-12.83m,2008/2009
42,Rangers FC,Premiership,€23.65m,24,€13.32m,21,€-10.33m,2008/2009
43,Lokomotiv Moscow,Premier Liga,€23.20m,14,€8.26m,19,€-14.94m,2008/2009
44,Olympiacos Piraeus,Super League 1,€23.15m,20,€7.41m,20,€-15.74m,2008/2009
45,Panathinaikos FC,Super League 1,€22.58m,34,€2.69m,34,€-19.89m,2008/2009
46,Real Zaragoza,LaLiga2,€22.30m,17,€46.00m,20,€23.70m,2008/2009
47,Torino FC,Serie A,€22.20m,18,€11.40m,19,€-10.80m,2008/2009
48,Trabzonspor,Süper Lig,€21.39m,36,€1.25m,39,€-20.14m,2008/2009
49,Fenerbahce,Süper Lig,€20.50m,10,-,9,€-20.50m,2008/2009
50,OGC Nice,Ligue 1,€20.25m,14,€35.90m,14,€15.65m,2008/2009
1,Real Madrid,LaLiga,€258.50m,10,€88.50m,14,€-170.00m,2009/2010
2,Manchester City,Premier League,€147.30m,22,€29.20m,28,€-118.10m,2009/2010
3,FC Barcelona,LaLiga,€113.50m,8,€24.50m,10,€-89.00m,2009/2010
4,FC Internazionale,Serie A,€97.20m,40,€109.10m,43,€11.90m,2009/2010
5,Olympique Lyon,Ligue 1,€82.70m,15,€53.00m,11,€-29.70m,2009/2010
6,Genoa CFC,Serie A,€78.99m,61,€68.95m,54,€-10.04m,2009/2010
7,Bayern Munich,Bundesliga,€75.70m,13,€22.95m,12,€-52.75m,2009/2010
8,Juventus FC,Serie A,€59.30m,28,€14.30m,27,€-45.00m,2009/2010
9,SSC Napoli,Serie A,€55.15m,18,€4.75m,22,€-50.40m,2009/2010
10,Aston Villa,Premier League,€46.90m,21,€22.10m,16,€-24.80m,2009/2010
11,Liverpool FC,Premier League,€43.50m,21,€48.55m,26,€5.05m,2009/2010
12,Olympique Marseille,Ligue 1,€42.30m,25,€27.80m,23,€-14.50m,2009/2010
13,Tottenham Hotspur,Premier League,€40.30m,32,€31.70m,31,€-8.60m,2009/2010
14,ACF Fiorentina,Serie A,€38.45m,31,€45.00m,30,€6.55m,2009/2010
15,SL Benfica,Liga Portugal,€38.30m,45,€6.83m,43,€-31.47m,2009/2010
16,Sunderland AFC,Premier League,€37.00m,23,€21.28m,29,€-15.73m,2009/2010
17,Zenit St. Petersburg,Premier Liga,€31.80m,16,€24.50m,13,€-7.30m,2009/2010
18,FC Porto,Liga Portugal,€31.73m,55,€72.89m,56,€41.16m,2009/2010
19,Fenerbahce,Süper Lig,€31.20m,11,€3.90m,15,€-27.30m,2009/2010
20,SS Lazio,Serie A,€31.20m,31,€13.20m,25,€-18.00m,2009/2010
21,Hamburger SV,Bundesliga,€30.45m,18,€8.50m,18,€-21.95m,2009/2010
22,Chelsea FC,Premier League,€30.00m,16,€3.80m,12,€-26.20m,2009/2010
23,FC Girondins Bordeaux,Ligue 1,€28.50m,15,€11.00m,12,€-17.50m,2009/2010
24,Sevilla FC,LaLiga,€27.50m,11,€9.30m,11,€-18.20m,2009/2010
25,Parma FC,Serie A,€27.47m,42,€30.96m,43,€3.49m,2009/2010
26,VfL Wolfsburg,Bundesliga,€27.30m,14,€3.40m,15,€-23.90m,2009/2010
27,Manchester United,Premier League,€27.30m,17,€104.47m,17,€77.17m,2009/2010
28,Stoke City,Premier League,€26.05m,23,€6.50m,23,€-19.55m,2009/2010
29,Besiktas JK,Süper Lig,€23.93m,21,€100k,16,€-23.83m,2009/2010
30,Everton FC,Premier League,€23.30m,15,€28.34m,15,€5.04m,2009/2010
31,Villarreal CF,LaLiga,€22.90m,11,€11.75m,15,€-11.15m,2009/2010
32,Dinamo Moscow,Premier Liga,€22.40m,9,€6.50m,9,€-15.90m,2009/2010
33,AC Milan,Serie A,€22.10m,22,€80.66m,23,€58.56m,2009/2010
34,West Ham United,Premier League,€21.65m,23,€41.30m,26,€19.65m,2009/2010
35,Calcio Catania,Serie A,€21.50m,37,€1.15m,32,€-20.35m,2009/2010
36,Birmingham City,Premier League,€20.05m,26,€400k,27,€-19.65m,2009/2010
37,AS Saint-Étienne,Ligue 1,€19.50m,13,€14.40m,13,€-5.10m,2009/2010
38,Wolverhampton Wanderers,Premier League,€19.45m,32,€870k,26,€-18.58m,2009/2010
39,AS Bari,Serie A,€19.14m,46,€1.79m,41,€-17.34m,2009/2010
40,Wigan Athletic,Premier League,€18.44m,18,€25.98m,18,€7.55m,2009/2010
41,Udinese Calcio,Serie A,€18.33m,55,€36.30m,51,€17.97m,2009/2010
42,VfB Stuttgart,Bundesliga,€18.10m,11,€30.95m,9,€12.85m,2009/2010
43,Lokomotiv Moscow,Premier Liga,€18.00m,20,€10.80m,15,€-7.20m,2009/2010
44,AC Siena,Serie A,€17.40m,42,€27.20m,44,€9.80m,2009/2010
45,US Palermo,Serie A,€17.30m,35,€12.79m,32,€-4.51m,2009/2010
46,Atlético de Madrid,LaLiga,€17.25m,15,€17.90m,15,€650k,2009/2010
47,Dnipro Dnipropetrovsk (-2020),Premier Liga,€16.53m,19,-,21,€-16.53m,2009/2010
48,Galatasaray,Süper Lig,€16.44m,23,€2.60m,27,€-13.84m,2009/2010
49,TSG 1899 Hoffenheim,Bundesliga,€16.25m,12,€225k,8,€-16.03m,2009/2010
50,Panathinaikos FC,Super League 1,€16.15m,22,€3.95m,24,€-12.20m,2009/2010
1,Manchester City,Premier League,€183.61m,33,€40.15m,26,€-143.46m,2010/2011
2,Chelsea FC,Premier League,€121.50m,19,€16.50m,21,€-105.00m,2010/2011
3,Liverpool FC,Premier League,€97.73m,21,€101.50m,24,€3.78m,2010/2011
4,Real Madrid,LaLiga,€93.00m,7,€10.50m,6,€-82.50m,2010/2011
5,Genoa CFC,Serie A,€76.85m,62,€60.40m,66,€-16.45m,2010/2011
6,FC Barcelona,LaLiga,€72.50m,9,€52.70m,9,€-19.80m,2010/2011
7,Juventus FC,Serie A,€59.27m,46,€36.78m,42,€-22.50m,2010/2011
8,VfL Wolfsburg,Bundesliga,€56.15m,18,€59.65m,16,€3.50m,2010/2011
9,AC Milan,Serie A,€51.70m,43,€25.93m,39,€-25.77m,2010/2011
10,Rubin Kazan,Premier Liga,€43.90m,16,€16.90m,19,€-27.00m,2010/2011
11,Zenit St. Petersburg,Premier Liga,€43.00m,7,€1.60m,9,€-41.40m,2010/2011
12,Olympique Marseille,Ligue 1,€41.50m,16,€22.60m,17,€-18.90m,2010/2011
13,SL Benfica,Liga Portugal,€39.13m,47,€86.08m,46,€46.96m,2010/2011
14,FC Internazionale,Serie A,€38.14m,37,€66.53m,38,€28.39m,2010/2011
15,Aston Villa,Premier League,€37.40m,20,€28.40m,20,€-9.00m,2010/2011
16,Spartak Moscow,Premier Liga,€36.40m,24,€16.70m,23,€-19.70m,2010/2011
17,FC Schalke 04,Bundesliga,€36.10m,22,€20.05m,26,€-16.05m,2010/2011
18,Atlético de Madrid,LaLiga,€34.05m,10,€23.90m,12,€-10.15m,2010/2011
19,US Palermo,Serie A,€32.78m,40,€23.85m,42,€-8.93m,2010/2011
20,FC Porto,Liga Portugal,€31.75m,44,€38.78m,45,€7.03m,2010/2011
21,Anzhi Makhachkala ( -2022),Premier Liga,€31.20m,27,-,23,€-31.20m,2010/2011
22,Parma FC,Serie A,€30.70m,55,€18.66m,52,€-12.04m,2010/2011
23,SS Lazio,Serie A,€29.50m,19,€27.03m,22,€-2.47m,2010/2011
24,Galatasaray,Süper Lig,€29.50m,21,€22.75m,22,€-6.75m,2010/2011
25,Manchester United,Premier League,€29.30m,16,€16.97m,18,€-12.34m,2010/2011
26,Sunderland AFC,Premier League,€29.10m,29,€41.78m,29,€12.68m,2010/2011
27,Shakhtar Donetsk,Premier Liga,€28.45m,14,€7.00m,14,€-21.45m,2010/2011
28,Olympique Lyon,Ligue 1,€28.44m,7,€10.82m,11,€-17.63m,2010/2011
29,Dnipro Dnipropetrovsk (-2020),Premier Liga,€28.30m,24,-,23,€-28.30m,2010/2011
30,Valencia CF,LaLiga,€27.85m,16,€84.35m,16,€56.50m,2010/2011
31,Tottenham Hotspur,Premier League,€26.60m,39,€2.94m,33,€-23.67m,2010/2011
32,Metalist Kharkiv (- 2016),Premier Liga,€26.00m,23,€6.95m,21,€-19.05m,2010/2011
33,UC Sampdoria,Serie A,€25.81m,37,€27.00m,36,€1.20m,2010/2011
34,Birmingham City,Premier League,€25.60m,24,€175k,21,€-25.43m,2010/2011
35,Málaga CF,LaLiga,€25.05m,23,-,24,€-25.05m,2010/2011
36,Dynamo Kyiv,Premier Liga,€24.55m,14,€7.11m,9,€-17.45m,2010/2011
37,Fenerbahce,Süper Lig,€23.60m,11,-,9,€-23.60m,2010/2011
38,Arsenal FC,Premier League,€23.00m,18,€8.10m,22,€-14.90m,2010/2011
39,ACF Fiorentina,Serie A,€22.82m,27,€5.75m,24,€-17.07m,2010/2011
40,Bologna FC 1909,Serie A,€22.51m,23,€8.20m,24,€-14.31m,2010/2011
41,TSG 1899 Hoffenheim,Bundesliga,€22.45m,15,€45.40m,16,€22.95m,2010/2011
42,Stade Rennais FC,Ligue 1,€22.20m,20,€34.13m,17,€11.93m,2010/2011
43,CSKA Moscow,Premier Liga,€21.70m,19,€17.80m,17,€-3.90m,2010/2011
44,Stoke City,Premier League,€21.10m,24,€6.78m,23,€-14.33m,2010/2011
45,Wolverhampton Wanderers,Premier League,€20.22m,28,€6.44m,25,€-13.78m,2010/2011
46,SSC Napoli,Serie A,€19.80m,30,€12.90m,25,€-6.90m,2010/2011
47,Red Bull Salzburg,Bundesliga,€19.30m,18,€11.60m,16,€-7.70m,2010/2011
48,West Ham United,Premier League,€18.03m,18,€4.95m,19,€-13.08m,2010/2011
49,Sevilla FC,LaLiga,€17.10m,16,€29.60m,16,€12.50m,2010/2011
50,Bayern Munich,Bundesliga,€17.00m,8,€6.00m,10,€-11.00m,2010/2011
1,Paris Saint-Germain,Ligue 1,€107.10m,19,€9.40m,14,€-97.70m,2011/2012
2,Juventus FC,Serie A,€101.83m,45,€20.70m,50,€-81.13m,2011/2012
3,Chelsea FC,Premier League,€96.45m,22,€31.56m,22,€-64.89m,2011/2012
4,AS Roma,Serie A,€91.25m,34,€26.13m,32,€-65.12m,2011/2012
5,Anzhi Makhachkala ( -2022),Russia,€91.20m,17,€26.00m,17,€-65.20m,2011/2012
6,Manchester City,Premier League,€91.05m,29,€31.20m,35,€-59.85m,2011/2012
7,Atlético de Madrid,LaLiga,€85.20m,21,€85.35m,20,€150k,2011/2012
8,SSC Napoli,Serie A,€72.70m,36,€23.79m,41,€-48.91m,2011/2012
9,Arsenal FC,Premier League,€65.48m,33,€78.29m,26,€12.82m,2011/2012
10,Liverpool FC,Premier League,€65.33m,21,€22.00m,18,€-43.33m,2011/2012
11,AC Milan,Serie A,€65.15m,48,€22.30m,43,€-42.85m,2011/2012
12,Manchester United,Premier League,€62.30m,15,€12.90m,18,€-49.41m,2011/2012
13,FC Barcelona,LaLiga,€60.00m,12,€46.95m,12,€-13.05m,2011/2012
14,Málaga CF,LaLiga,€59.25m,16,-,16,€-59.25m,2011/2012
15,Real Madrid,LaLiga,€56.00m,6,€8.00m,7,€-48.00m,2011/2012
16,Genoa CFC,Serie A,€53.13m,70,€81.95m,71,€28.81m,2011/2012
17,Bayern Munich,Bundesliga,€52.10m,8,€5.00m,5,€-47.10m,2011/2012
18,FC Porto,Liga Portugal,€49.19m,37,€46.80m,38,€-2.39m,2011/2012
19,VfL Wolfsburg,Bundesliga,€48.80m,27,€12.13m,19,€-36.68m,2011/2012
20,US Palermo,Serie A,€46.03m,49,€69.65m,48,€23.63m,2011/2012
21,FC Internazionale,Serie A,€41.70m,37,€55.95m,37,€14.25m,2011/2012
22,Fenerbahce,Süper Lig,€35.30m,15,€27.50m,13,€-7.80m,2011/2012
23,Sporting CP,Liga Portugal,€34.00m,38,€6.63m,38,€-27.37m,2011/2012
24,Valencia CF,LaLiga,€34.00m,15,€32.90m,15,€-1.10m,2011/2012
25,Dinamo Moscow,Russia,€33.60m,12,€7.00m,11,€-26.60m,2011/2012
26,Villarreal CF,LaLiga,€31.30m,16,€26.85m,14,€-4.45m,2011/2012
27,SL Benfica,Liga Portugal,€30.96m,50,€41.19m,52,€10.23m,2011/2012
28,Sunderland AFC,Premier League,€27.92m,35,€26.33m,31,€-1.60m,2011/2012
29,Newcastle United,Premier League,€27.00m,27,€16.04m,26,€-10.96m,2011/2012
30,Queens Park Rangers,Premier League,€26.23m,46,€2.80m,41,€-23.43m,2011/2012
31,Bayer 04 Leverkusen,Bundesliga,€26.11m,16,€16.06m,15,€-10.05m,2011/2012
32,PSV Eindhoven,Eredivisie,€25.75m,13,€15.80m,13,€-9.95m,2011/2012
33,Stoke City,Premier League,€24.80m,26,€1.99m,26,€-22.82m,2011/2012
34,Trabzonspor,Süper Lig,€24.45m,26,€9.73m,24,€-14.73m,2011/2012
35,Dnipro Dnipropetrovsk (-2020),Premier Liga,€24.44m,17,€2.50m,20,€-21.94m,2011/2012
36,Galatasaray,Süper Lig,€23.60m,22,€15.83m,20,€-7.78m,2011/2012
37,LOSC Lille,Ligue 1,€23.40m,19,€36.90m,18,€13.50m,2011/2012
38,Rubin Kazan,Russia,€23.35m,14,€8.60m,11,€-14.75m,2011/2012
39,Spartak Moscow,Russia,€23.00m,13,€6.80m,14,€-16.20m,2011/2012
40,SS Lazio,Serie A,€22.84m,25,€26.38m,25,€3.54m,2011/2012
41,Udinese Calcio,Serie A,€21.11m,63,€70.63m,62,€49.52m,2011/2012
42,Bologna FC 1909,Serie A,€20.78m,27,€21.10m,24,€318k,2011/2012
43,Blackburn Rovers,Premier League,€20.55m,26,€40.30m,28,€19.75m,2011/2012
44,Dynamo Kyiv,Premier Liga,€20.50m,14,€23.10m,15,€2.60m,2011/2012
45,Aston Villa,Premier League,€20.34m,20,€43.75m,25,€23.41m,2011/2012
46,ACF Fiorentina,Serie A,€20.14m,36,€20.11m,35,€-23k,2011/2012
47,AS Monaco,Ligue 2,€20.00m,38,€23.00m,32,€3.00m,2011/2012
48,Sevilla FC,LaLiga,€19.00m,18,€15.70m,20,€-3.30m,2011/2012
49,UC Sampdoria,Serie B,€18.36m,45,€5.60m,42,€-12.75m,2011/2012
50,Fulham FC,Premier League,€18.13m,21,€7.67m,17,€-10.46m,2011/2012
1,Paris Saint-Germain,Ligue 1,€151.00m,11,€4.75m,15,€-146.25m,2012/2013
2,Chelsea FC,Premier League,€109.70m,29,€25.45m,28,€-84.25m,2012/2013
3,Zenit St. Petersburg,Premier Liga,€88.76m,9,€1.75m,8,€-87.01m,2012/2013
4,FC Internazionale,Serie A,€76.55m,47,€63.30m,44,€-13.25m,2012/2013
